Unike anleggstyper:
Badeplass
Båthavn/Brygge
Ulike småanlegg
Kajakkanlegg
Båthus
Roanlegg
Vannsportsanlegg
Vannskianlegg
Flytebrygge
Seilanlegg
Tidtaker/sekretariat m.m.
Prestjordneset, flytebrygge;7605962;603698;33
Beisfjordbrua, vannskianlegg;7590404;599624;33
Beisfjordbrua,flytebrygge;7590389;599605;33
Vassvik flytebrygge;7594771;599650;33
Ankenes, seilsportanlegg;7592031;596739;33
Båtberget, flytebrygge;7592149;596665;33
Narvik båthavn gjestehavn;7594660;599619;33
Torget båt og badeplass;7257657;365195;33
Igerøy småbåthavn;7286853;367996;33
Herøy båthavn;7320102;376529;33
Søvikanlegget småbåthavn;7313636;383068;33
Sandnessjøen båthavn kajakkhus;7324071;391574;33
Leinesodden båthus;7325692;394205;33
Bordvedneset båtutsett;7303432;417176;33
Tolkvatnet badeplass flytebrygge;7299492;462895;33
Langfarskjæret flytebrygge;7340894;388560;33
Bjørnsvågen flytebrygge;7331112;390761;33
Nord-Dønna båthavn;7346332;391108;33
Bjørn sjøsportanlegg;7331132;390764;33
Bjørn båthavn;7331132;390764;33
Solfjellsjøen flytebrygge;7334385;390884;33
Nesna småbåthavn flytebrygge;7343744;410759;33
Klokkerhagen Elvepark - Kanonaust m/bryg;7354800;463807;33
Sørnesøy båthavn flytekai;7385629;394764;33
Erikstad båthus;7459668;516113;33
Lakså vannskianlegg;7520456;512495;33
Langnesvika flytebrygge;7507815;501512;33
Sagfjorden båthavn;7539114;538644;33
Hestvika opplevelsesområde;7544627;513253;33
Røst båthavn;7490864;375411;33
Selfjord flytebrygge;7548175;419120;33
Fredvang båthavn brygge;7553229;423466;33
Slottdalen vannaktivitetsanlegg;7558355;450835;33
Slottdalen vannsportanlegg;7558104;451027;33
Lofoten seilersenter båthavn;7557512;452496;33
Klokkervika brygge;7556355;440213;33
Knutmarka flytebrygge;7570554;481318;33
Haugsnes flytebrygge;7618827;489191;33
Øksnesvågen;7640668;498443;33
Kvalnes småbåthavn;7671746;543075;33
Grøtavær flytebrygge;7650993;550316;33
Sagvatnhytta naust;7634051;621081;33
Djupvåg flytebrygge;7676000;623458;33
Rubbestad flytebrygge;7674737;611694;33
